Comando,NomeCat,IDProduto,CodProd,NomeProd,Peso,Descricao,DescrLonga,DescrURL,URLTarget,Estoque,EstoqueMinimo,Disponivel,ICMS,Custo,Preco,PrecoProm,PrecoB2B,PrecoB2BProm,DataPromInicio,DataPromFim,Lancamento,EmDestaque,ImagemProd,ImagemDet,ImagemAmp,Adicional1,Adicional2,Adicional3,AdicionalD1,AdicionalD2,AdicionalD3,Cores,OrdemProd,IDProdutoPai,RamoProd,MaisProd,DataVencimento,DiasAvisoVencimento,DiasReposicao,IDParceiroProd,DescrHTM,MetaKeywordsProd,MaxParcelasProd,XMLParcelasProd,CodBarrasProd,Embalavel,IsProdutoGrande,LarguraProd,AlturaProd,ProfundidadeProd,CodVideo,ProdMPN
"A","Boneco pequeno",192443,"","",0,"sub","","",False,32000,0,True,0,0,100,80,0,0,20/01/2015,27/11/2015 15:00:00,False,False,"Minicraque_p.jpg","Minicraque_m.jpg","Minicraque_z.jpg","4807","2122","","","","","3",0,192251,,"",,,0,,"","",4,0,,False,False,0,0,0,"",""
"A","Boneco pequeno",192251,"","Boneco Alunos Assustadores - Mike - Universidade Monstros - Sunny",0,"Agora você poderá assustar ao lado do seu Monstro preferido do filme Universidade Monstros com este boneco Aluno Assustador articulado da Sunny!","Recrie suas cenas preferidas do filme ou crie novas histórias com essa figura articulada de aproximadamente 13 cm de altura!

São 3 modelos diferentes (vendidos separadamente) para colecionar e brincar!

aracterísticas	
 Recomendado para crianças maiores de 3 anos de idade.

 Não recomendado para crianças menores de 3 anos de idade, por conter partes pequenas que podem ser engolidas.

 As cores podem variar entre as imagens mostradas acima e o produto.
Fornecedor:	Sunny","",False,1,0,True,0,0,100,80,0,0,20/01/2015,27/11/2015 15:00:00,False,False,"Mike_p.jpg","Mike_m.jpg","Mike_z.jpg","4483","","","","","","25",0,,,"jogo,carro",,0,0,,"","",0,0,,True,False,0,0,0,"",""
"A","Bonecos",192252,"","Boneco Minicraque CBF Soccerstarz - David Luiz - 04 - Creative",0,"Chegou o Boneco Minicraque CBF Soccerstarz - David Luiz - 04 da Creative, e agora, todos poderão colecionar!

Mini boneco colecionável com aproximadamente 5 cm de altura e acompanhado de um card!
","Características	David Luiz Moreira Marinho

<iframe src=""https://player.vimeo.com/video/125508172"" width=""500"" height=""281"" frameborder=""0"" webkitallowfullscreen mozallowfullscreen allowfullscreen></iframe> <p><a href=""https://vimeo.com/125508172"">MEGALIZER II</a> from <a href=""https://vimeo.com/user39446798"">MEGALIZER</a> on <a href=""https://vimeo.com"">Vimeo</a>.</p>","",False,1,0,True,0,0,14.9,0,0,0,,,True,False,"Minicraque_p.jpg","Minicraque_m.jpg","Minicraque_z.jpg","4483","","","teste,teste4","","","",0,,,"",,0,0,,"","",6,0,,True,False,0,0,0,"",""
"A","Bonecos",192250,"","Boneco Transformers 4 - One Step Changers - Optimus Prime - Hasbro",500,"Transforme seu Boneco Transformers 4 - One Step Changers - Optimus Prime da Hasbro em uma só etapa!","O líder dos Autobots está de volta e esta mais feroz do que nunca! Este Optimus ainda luta contra os Decepticons sempre que pode, mas se transformará tão rápido que eles nunca saberão o que os atingiu. 

Mude do modo robô poderoso para o modo caminhão em apenas uma etapa, depois, volte para o modo robô novamente quando a batalha acontecer!

Os Decepticons não conseguirão nunca acompanhar essa mudança rápida do Optimus Prime!

Conteúdo da Embalagem:	01 Transformer.
Idade Recomendada:	Recomendado para crianças maiores de 5 anos de idade.
Atenção:	Não recomendável para menores de 3 anos por conter peças pequenas que podem ser engolidas.
Aviso Importante:	As cores podem variar entre as imagens mostradas acima e o produto. Imagens meramente ilustrativas.
Material / Composição:	Plástico.
Referência do Fabricante	A6151 / A6154
Certificação:	Certificado pelos Órgãos Autorizados - OCP´S (Organismos de Certificação de Produtos)","",False,0,0,True,0,0,50,60,0,0,21/11/2014,25/11/2014,True,False,"Optimus_Prime_p.jpg","Optimusg.jpg,Optimus_Prime_m.jpg","Optimus_Prime_z.jpg,Optimusg.jpg","","","","","","","",0,,,"",,0,0,,"","",0,0,,True,False,0,0,0,"",""
"A","Bonecos",192249,"","Boneco Ultimate Spider Man - Titan Hero - 30 cm - Hasbro",0,"Agora você pode criar ou recriar as aventuras do Spider Man com esse super boneco de aproximadamente 30 cm de altura!","Com um incrível design e 5 pontos de articulação, esse super boneco possui todos os atributos para se tornar o novo brinquedo preferido dos meninos!

Características	
 Conteúdo da Embalagem: 01 Boneco Spider Man.

 Recomendado para crianças maiores de 4 anos de idade.

 Não recomendado para crianças menores de 3 anos de idade, por conter partes pequenas que podem ser engolidas.

 As cores podem variar entre as imagens mostradas acima e o produto.
Fornecedor:	Hasbro
Conteúdo da Embalagem:	01 Boneco Spider Man.
Idade Recomendada:	Recomendado para crianças maiores de 4 anos de idade.
Aviso Importante:	As cores podem variar entre as imagens mostradas acima e o produto. Imagens meramente ilustrativas.
","",False,29,0,True,0,0,49.99,30,0,0,12/12/2014,12/06/2015,True,False,"Spider_Man_p.jpg","Spider_Man_m.jpg","Spider_Man_z.jpg","","","","","","","",0,,,"jogo,carro",,0,0,,"","",0,0,,True,False,0,0,0,"",""
"A","Bonecos",219666,"","Produto_- = -* & # / º ' \ promoção!!@@''+§",100,"rere","rere","",False,42,0,True,0,0,99999,0,150,50,10/08/2015,20/08/2015,False,False,"","","","","","","","","","",0,,,"",,,0,,"","",0,0,,True,False,0,0,0,"",""
"A","Carros",192243,"","Carrinho Disney Cars - All Stars - Jeff Corvette - Mattel",200,"As crianças adoraram os personagens de Carros, da Disney/Pixar, porque eles têm personalidades únicas e habilidades nas manobras. Este sortimento vem com carros em escala 1:55 que são capazes de cinco","Venha você também fazer parte desta coleção.
Características	
Conteúdo da Embalagem - 01 Veiculo Cars 
Recomendado para crianças maiores de 03 anos de idade.
Não recomendado para crianças menores de 03 anos de idade, por conter partes pequenas que podem ser engolidas.","",False,2,0,True,0,0,39.99,20,0,0,07/08/2015,20/08/2016,True,False,"Carrinho_Corvette_p.jpg","Carrinho_Corvette_m.jpg","Carrinho_Corvette_z.jpg","","","","","","","",0,,,"",,0,0,,"","",0,0,,True,False,0,0,0,"",""
"A","Carros",192238,"","Carro Colecionável - Pro Rodz - Chevrolet Corvette Vermelho 1957 - 1:24 - Maisto",0,"Coleção Maisto - Special Edition! Veículos super detalhados na escala de 1:24 variando de acordo com o modelo, com rodas livres, portas e capô que se abrem! Do clássico ao de luxo, esse brinquedo veio","Características	Conteúdo: 1 veículo. Material predominante: metal e plástico. Idade recomendada: acima de 14 anos. Imagens Meramente Ilustrativas.
Fornecedor:	Importação
Conteúdo da Embalagem:	1 Carro Colecionável - Pro Rodz - Chevrolet Corvette Vermelho 1957 - 1:24 - Maisto
Idade Recomendada:	Acima de 14 anos
Aviso Importante:	As cores podem variar entre as imagens mostradas acima e o produto. Imagens meramente ilustrativas.
Material / Composição:	Metal e plástico
Escala:	´1:24
Dimensões	Peso - 700g, Altura - 12 cm, Largura - 24.5 cm, Comprimento - 13 cm
Referência do Fornec. / Prod.	31021-4
Fornecedor:	New Toys","",False,5,0,True,0,0,89.99,0,0,0,,,True,False,"Chevrolet_Corvette_p.jpg","Chevrolet_Corvette_m.jpg","Chevrolet_Corvette_z.jpg","","","","","","","",0,,0,"",,0,0,,,"",0,0,,True,False,0,0,0,"",""
"A","Carros",192240,"","Carro Colecionável - Pro Rodz - Dodge Challenger R/T Convertible 1970 - 1:24 - Maisto",0,"Coleção Maisto - Special Edition! Veículos super detalhados na escala de 1:24 variando de acordo com o modelo, com rodas livres, portas e capô que se abrem! Do clássico ao de luxo, esse brinquedo veio","Características	Conteúdo: 1 veículo. Material predominante: metal e plástico. Idade recomendada: acima de 14 anos. Imagens Meramente Ilustrativas.
Fornecedor:	Importação
Conteúdo da Embalagem:	1 Carro Colecionável - Pro Rodz - Dodge Challenger R/T Convertible 1970 - 1:24 - Maisto
Idade Recomendada:	Acima de 14 anos
Aviso Importante:	As cores podem variar entre as imagens mostradas acima e o produto. Imagens meramente ilustrativas.
Material / Composição:	Metal e plástico
Escala:	´1:24
Dimensões	Peso - 700g, Altura - 12 cm, Largura - 24.5 cm, Comprimento - 13 cm
Referência do Fornec. / Prod.	31021-4
Fornecedor:	New Toys","",False,3,0,True,0,0,89.99,0,0,0,,,True,False,"Dodge_Challenger_p.jpg","Dodge_Challenger_m.jpg","Dodge_Challenger_z.jpg","","","","","","","",0,,0,"",,0,0,,,"",0,0,,True,False,0,0,0,"",""
"A","Carros",192236,"","Carro de Controle Remoto - Batman - Batmóvel",0,"Carro de Controle Remoto - Batman - Batmóvel - Candide","Contém: 1 carro de contro remoto, 1 controle, 1 bateria recarregável e 1 carregador bivolt Frequência: 27Mhz Matéria Prima: Plástico e componentes eletrônicos. Advertência: Produtos e cores podem variar daquelas representadas na embalagem. Produto não recomendável para menores de 3 anos por conter partes pequenas que podem ser engolidas. Idade recomendada para crianças acima de 3 anos. Alimentação: O controle utiliza 1 bateria ""9V"" (não inclusa) e o carro utiliza 1 bateria recarregável ""3,6V"" (Inclusa) Potência de Entrada do Carregador: AC 110V - 240V 50/60Hz Tensão Nominal: DC 3,6V - 250mA","",False,8,0,True,0,0,120,0,0,0,,,True,False,"carrinho_p.jpg","carrinho_m.jpg","carrinho_z.jpg","","","","","","","",0,,174,"",,,0,,"","",0,0,,True,False,0,0,0,"",""
